Checked,Text,Orange
1,Pre-Event + Send to Riders,0
1,Shared folder,0
1,Weather Station,0
1,Printer,0
1,Batteries,0
1,Timetables,0
1,TVs + Antenna,0
1,Peltors batteries,0
1,Thursday: Specsheet + Warmup,0
1,Data + Specsheet + Report + T&R,0
0,Data Download Fill in + DATE,0
1,DataTransfer.py + Paths: ON,0
1,Set alarm 11 minutes earlier,0
1,1,0
0,2,0
0,3,0
0,4,0
0,5,0
0,6,0
0,7,0
0,8,0
0,9,0
0,10,0
1,11,0
0,12,0
0,13,0
1,Set time on bikes,0
1,GPS Beacon / Beacon Active / TRIGGER,0
0,Dashboard,0
0,Power Reduction,0
0,Traction Control,0
0,Suspensions,0
0,Throttle,0
0,Stepper,0
0,Gear Thresholds,0
0,Split Times,0
0,Gearing,0
0,Tyres,0
0,Ebr + EB Strat Settings,0
0,FI,0
0,ECU,0
0,MAP SENT,0
0,Buttons on Motorcycle,0
0,Motorcycle WarmUp,0
0,Session plan + Fuel + Tyres,0
0,AutoLambda zeroing,0
0,TAPES & SPONGE,0
1,Set time on bikes,0
0,GPS Beacon / Beacon Active / TRIGGER,1
0,Dashboard,0
0,Power Reduction,0
0,Traction Control,0
0,Suspensions,0
0,Throttle,0
0,Stepper,0
0,Gear Thresholds,0
0,Split Times,0
0,Gearing,0
0,Tyres,0
0,Ebr + EB Strat Settings,0
0,FI,0
0,ECU,0
0,MAP SENT,0
0,Buttons on Motorcycle,0
0,Motorcycle WarmUp,0
0,Session plan + Fuel + Tyres,0
0,AutoLambda zeroing,0
0,TAPES & SPONGE,0
0,Download Lap Times,0
0,Honda: Thurs WU + Data + Team Report + Specsheet with lower part + Engine Milleage,0
0,Engine fill in + Tyre Log fill in,0
0,Practice Race Start,0
0,Data Back Up + Honda USB Files Save,0
