Checked,Text
1,Pre-Event + Send to Riders
1,Shared folder
1,Weather Station
1,Printer
1,Batteries
1,Timetables
1,TVs + Antenna
1,Peltors batteries
1,Thursday: Specsheet + Warmup
1,Data + Specsheet + Report + T&R
0,Data Download Fill in + DATE
1,DataTransfer.py + Paths: ON
1,Set alarm 11 minutes earlier
0,Set time on bikes
0,GPS Beacon / Beacon Active / TRIGGER
0,Dashboard
0,Power Reduction
0,Traction Control
0,Suspensions
0,Throttle
0,Stepper
0,Gear Thresholds
0,Split Times
0,Gearing
0,Tyres
0,Ebr + EB Strat Settings
1,FI
1,ECU
0,MAP SENT
0,Buttons on Motorcycle
0,Motorcycle WarmUp
0,Session plan + Fuel + Tyres
0,AutoLambda zeroing
0,TAPES & SPONGE
0,Item 15
0,Item 16
0,Item 17
0,Item 18
0,Item 19
0,Item 20
0,Item 21
0,Item 22
0,Item 23
0,Item 24
0,Item 25
0,Item 26
0,Item 27
0,Item 1
0,Item 2
0,Item 3
0,Item 4
0,Item 5
0,Item 6
0,Item 7
0,Item 8
0,Item 1
0,Item 2
0,Item 3
0,Item 4
0,Item 5
