carried_over,has_flag,is_valid,lap_number,lap_time,lap_time_seconds,rider_name,rider_number,sector_1,sector_2,sector_3,sector_4,source_column,source_page,speed
False,False,True,1,2'45.275,165.275,Jose Antonio RUEDA,99,27.521,33.741,41.869,37.094,LEFT,3,
False,False,True,2,2'16.153,136.153,Jose Antonio RUEDA,99,28.758,31.077,40.451,35.867,LEFT,3,223.1
False,False,True,3,2'14.372,134.372,Jose Antonio RUEDA,99,28.295,30.334,40.102,35.641,LEFT,3,224.0
False,False,True,4,2'13.612,133.612,Jose Antonio RUEDA,99,28.158,30.059,39.880,35.515,LEFT,3,223.6
False,False,True,5,2'21.742,141.742,Jose Antonio RUEDA,99,36.007,30.162,40.003,35.570,LEFT,3,222.6
False,False,True,6,2'12.367,132.367,Jose Antonio RUEDA,99,27.894,29.776,39.544,35.153,LEFT,3,226.4
False,False,True,7,2'12.096,132.096,Jose Antonio RUEDA,99,27.751,29.625,39.474,35.246,LEFT,3,227.8
False,True,True,8,2'22.205,142.20499999999998,Jose Antonio RUEDA,99,27.909,29.818,39.882,44.596,LEFT,3,225.4
False,False,True,9,9'12.416,552.416,Jose Antonio RUEDA,99,28.140,30.571,39.973,35.484,LEFT,3,
False,False,True,10,2'12.861,132.861,Jose Antonio RUEDA,99,27.777,29.539,39.356,36.189,LEFT,3,223.6
False,False,True,11,2'11.279,131.279,Jose Antonio RUEDA,99,27.683,29.512,39.082,35.002,LEFT,3,228.8
False,False,True,12,2'11.152,131.152,Jose Antonio RUEDA,99,27.679,29.376,39.090,35.007,LEFT,3,224.0
False,False,True,13,2'12.703,132.703,Jose Antonio RUEDA,99,27.866,29.918,39.585,35.334,LEFT,3,224.5
False,False,True,1,2'52.643,172.643,Alvaro CARPE,83,27.808,33.851,43.341,37.743,LEFT,3,
False,False,True,2,2'20.256,140.256,Alvaro CARPE,83,29.342,31.917,42.464,36.533,LEFT,3,228.3
False,False,True,3,2'15.372,135.372,Alvaro CARPE,83,28.728,30.551,40.216,35.877,LEFT,3,225.4
False,False,True,4,2'14.185,134.185,Alvaro CARPE,83,28.200,30.222,40.051,35.712,LEFT,3,226.8
False,False,True,5,2'13.160,133.16,Alvaro CARPE,83,28.208,29.915,39.538,35.499,LEFT,3,225.0
False,False,True,6,2'15.282,135.282,Alvaro CARPE,83,27.926,31.391,39.924,36.041,LEFT,3,227.8
False,False,True,7,2'12.386,132.386,Alvaro CARPE,83,27.800,29.658,39.434,35.494,LEFT,3,228.3
False,True,True,8,2'24.966,144.966,Alvaro CARPE,83,27.768,30.047,40.807,46.344,LEFT,3,227.3
False,False,True,9,9'02.960,542.96,Alvaro CARPE,83,32.696,31.110,39.780,35.351,LEFT,3,
False,False,True,10,2'11.187,131.187,Alvaro CARPE,83,27.563,29.277,39.169,35.178,LEFT,3,230.2
False,False,True,11,2'17.208,137.208,Alvaro CARPE,83,27.946,29.808,40.060,39.394,LEFT,3,224.0
False,False,True,12,2'12.952,132.952,Alvaro CARPE,83,27.678,29.954,39.887,35.433,LEFT,3,231.2
False,False,True,13,2'12.797,132.797,Alvaro CARPE,83,27.940,29.932,39.761,35.164,LEFT,3,226.4
False,False,True,1,2'48.358,168.358,Brian URIARTE,51,27.842,33.732,42.719,36.886,LEFT,3,
False,False,True,2,2'15.938,135.938,Brian URIARTE,51,28.720,30.908,40.236,36.074,LEFT,3,221.3
False,False,True,3,2'13.875,133.875,Brian URIARTE,51,28.288,30.159,39.827,35.601,LEFT,3,221.7
False,False,True,4,2'13.948,133.948,Brian URIARTE,51,28.086,30.086,40.055,35.721,LEFT,3,222.6
False,False,True,5,2'13.546,133.546,Brian URIARTE,51,28.118,29.987,39.794,35.647,LEFT,3,222.2
False,False,True,6,2'13.141,133.141,Brian URIARTE,51,28.088,29.867,39.778,35.408,LEFT,3,221.3
False,False,True,7,2'19.971,139.971,Brian URIARTE,51,30.074,33.965,39.964,35.968,LEFT,3,221.7
False,False,True,8,2'13.138,133.138,Brian URIARTE,51,27.958,29.871,39.868,35.441,LEFT,3,222.6
False,False,True,9,2'13.061,133.061,Brian URIARTE,51,27.903,29.819,39.873,35.466,LEFT,3,223.6
True,True,True,10,2'24.090,144.09,Brian URIARTE,51,28.405,30.541,41.287,43.857,RIGHT,3,216.8
False,False,True,11,4'46.733,286.733,Brian URIARTE,51,27.346,30.916,40.974,35.688,RIGHT,3,
False,False,True,12,2'11.202,131.202,Brian URIARTE,51,27.615,29.597,39.254,34.736,RIGHT,3,233.7
False,False,True,13,2'11.210,131.21,Brian URIARTE,51,27.325,29.604,39.201,35.080,RIGHT,3,231.7
False,False,True,15,2'11.356,131.356,Brian URIARTE,51,27.737,29.621,39.127,34.871,RIGHT,3,224.5
False,False,True,1,2'58.814,178.814,Angel PIQUERAS,36,26.608,34.241,43.545,36.400,RIGHT,3,
False,False,True,2,2'15.911,135.911,Angel PIQUERAS,36,28.825,31.097,40.477,35.512,RIGHT,3,225.9
False,False,True,3,2'13.790,133.79,Angel PIQUERAS,36,28.135,30.162,39.937,35.556,RIGHT,3,228.3
False,False,True,4,2'14.007,134.007,Angel PIQUERAS,36,28.057,30.447,40.128,35.375,RIGHT,3,228.3
False,False,True,5,2'12.776,132.776,Angel PIQUERAS,36,27.789,29.905,39.633,35.449,RIGHT,3,228.3
False,False,True,6,2'15.326,135.326,Angel PIQUERAS,36,27.874,32.194,39.756,35.502,RIGHT,3,227.8
False,False,True,7,2'12.387,132.387,Angel PIQUERAS,36,27.738,29.758,39.617,35.274,RIGHT,3,226.8
False,False,True,8,2'12.146,132.14600000000002,Angel PIQUERAS,36,27.704,29.617,39.485,35.340,RIGHT,3,227.3
False,True,True,9,2'23.557,143.557,Angel PIQUERAS,36,28.150,30.506,40.535,44.366,RIGHT,3,226.4
False,False,True,10,6'55.450,415.45,Angel PIQUERAS,36,29.296,31.360,41.376,35.129,RIGHT,3,
False,False,True,11,2'11.264,131.264,Angel PIQUERAS,36,27.511,29.402,39.370,34.981,RIGHT,3,227.8
False,False,True,12,2'13.539,133.539,Angel PIQUERAS,36,28.265,30.555,39.324,35.395,RIGHT,3,229.2
False,False,True,13,2'14.105,134.105,Angel PIQUERAS,36,27.479,29.918,41.556,35.152,RIGHT,3,229.7
False,False,True,14,2'14.827,134.827,Angel PIQUERAS,36,27.538,31.096,40.509,35.684,RIGHT,3,229.2
False,False,True,1,2'50.336,170.336,David ALMANSA,22,27.762,33.957,43.133,38.569,RIGHT,3,
False,False,True,2,2'16.460,136.46,David ALMANSA,22,29.159,30.864,40.438,35.999,RIGHT,3,231.7
False,False,True,3,2'14.429,134.429,David ALMANSA,22,28.389,30.169,40.047,35.824,RIGHT,3,230.7
False,False,True,4,2'13.458,133.458,David ALMANSA,22,27.904,29.918,39.952,35.684,RIGHT,3,227.8
False,False,True,5,2'14.205,134.205,David ALMANSA,22,27.955,30.303,40.347,35.600,RIGHT,3,226.4
False,False,True,6,2'18.697,138.697,David ALMANSA,22,31.567,31.526,39.943,35.661,RIGHT,3,222.6
False,False,True,7,2'12.674,132.674,David ALMANSA,22,27.873,29.810,39.722,35.269,RIGHT,3,227.3
False,True,True,8,2'25.114,145.114,David ALMANSA,22,28.142,30.271,40.254,46.447,RIGHT,3,224.0
False,False,True,9,9'07.040,547.04,David ALMANSA,22,28.727,31.263,40.164,35.577,RIGHT,3,
False,False,True,10,2'11.273,131.273,David ALMANSA,22,27.654,29.363,39.023,35.233,RIGHT,3,229.7
False,False,True,11,2'11.951,131.951,David ALMANSA,22,27.519,29.479,39.666,35.287,RIGHT,3,228.3
False,False,True,12,2'24.685,144.685,David ALMANSA,22,34.512,30.530,40.834,38.809,RIGHT,3,224.0
False,False,True,13,2'13.831,133.831,David ALMANSA,22,27.835,29.916,40.058,36.022,RIGHT,3,229.2
False,False,True,1,2'52.355,172.355,Taiyo FURUSATO,72,26.817,33.463,43.291,37.339,RIGHT,3,
True,False,True,2,2'16.166,136.166,Taiyo FURUSATO,72,28.635,30.962,40.637,35.932,LEFT,4,228.3
True,False,True,3,2'13.633,133.633,Taiyo FURUSATO,72,28.040,30.153,39.875,35.565,LEFT,4,229.7
True,False,True,4,2'13.410,133.41,Taiyo FURUSATO,72,28.062,29.974,39.718,35.656,LEFT,4,232.2
True,False,True,5,2'13.652,133.652,Taiyo FURUSATO,72,27.859,29.844,40.102,35.847,LEFT,4,228.8
True,False,True,6,2'13.274,133.274,Taiyo FURUSATO,72,28.190,29.992,39.673,35.419,LEFT,4,225.0
True,False,True,7,2'12.715,132.715,Taiyo FURUSATO,72,27.852,29.799,39.446,35.618,LEFT,4,224.5
True,True,True,8,2'23.874,143.874,Taiyo FURUSATO,72,28.539,29.748,39.867,45.720,LEFT,4,223.1
True,False,True,9,9'17.657,557.657,Taiyo FURUSATO,72,26.603,30.890,40.532,36.372,LEFT,4,
False,False,True,10,2'11.890,131.89,Taiyo FURUSATO,72,27.690,29.762,39.149,35.289,LEFT,4,230.7
False,False,True,11,2'11.283,131.283,Taiyo FURUSATO,72,27.607,29.523,39.072,35.081,LEFT,4,230.7
False,False,True,12,2'11.859,131.859,Taiyo FURUSATO,72,27.542,29.553,39.542,35.222,LEFT,4,232.2
False,False,True,13,2'16.439,136.439,Taiyo FURUSATO,72,30.649,30.232,39.830,35.728,LEFT,4,225.9
False,False,True,1,3'00.952,180.952,Joel KELSO,66,28.521,36.709,43.559,36.996,LEFT,4,
False,False,True,2,2'17.430,137.43,Joel KELSO,66,28.790,31.465,40.719,36.456,LEFT,4,229.2
False,False,True,3,2'15.883,135.883,Joel KELSO,66,28.550,31.033,40.673,35.627,LEFT,4,225.4
False,False,True,4,2'13.877,133.877,Joel KELSO,66,28.169,30.138,40.121,35.449,LEFT,4,227.8
False,False,True,5,2'13.860,133.86,Joel KELSO,66,27.972,30.041,40.167,35.680,LEFT,4,225.9
False,False,True,6,2'13.386,133.386,Joel KELSO,66,27.960,30.019,39.986,35.421,LEFT,4,224.5
False,True,True,7,2'37.440,157.44,Joel KELSO,66,28.031,32.405,43.722,53.282,LEFT,4,225.9
False,False,True,8,11'02.518,662.518,Joel KELSO,66,29.420,31.313,41.344,35.805,LEFT,4,
False,False,True,9,2'11.449,131.449,Joel KELSO,66,27.558,29.480,39.263,35.148,LEFT,4,229.7
False,False,True,10,2'20.573,140.573,Joel KELSO,66,32.332,31.286,40.978,35.977,LEFT,4,226.4
False,False,True,12,2'12.997,132.997,Joel KELSO,66,27.698,29.903,40.082,35.314,LEFT,4,228.8
False,False,True,1,2'50.419,170.41899999999998,Jacob ROULSTONE,12,27.442,33.980,42.149,37.769,LEFT,4,
False,False,True,2,2'16.654,136.654,Jacob ROULSTONE,12,28.851,30.877,40.485,36.441,LEFT,4,233.2
False,False,True,3,2'13.601,133.601,Jacob ROULSTONE,12,28.069,30.086,39.733,35.713,LEFT,4,229.2
False,False,True,4,2'14.302,134.302,Jacob ROULSTONE,12,28.098,29.935,39.969,36.300,LEFT,4,225.4
False,False,True,5,2'13.834,133.834,Jacob ROULSTONE,12,28.074,29.922,39.785,36.053,LEFT,4,228.8
False,False,True,6,2'22.922,142.922,Jacob ROULSTONE,12,35.172,32.036,39.997,35.717,LEFT,4,219.9
False,False,True,7,2'12.626,132.626,Jacob ROULSTONE,12,27.916,29.802,39.479,35.429,LEFT,4,225.9
False,True,True,8,2'24.753,144.753,Jacob ROULSTONE,12,29.367,31.897,40.168,43.321,LEFT,4,224.5
False,False,True,9,9'07.108,547.108,Jacob ROULSTONE,12,30.023,31.272,41.412,35.965,LEFT,4,
