best_lap_time,bike,country,gap_to_first,gap_to_previous,lap_number,name,number,position,rider_name,rider_number,team,top_speed,total_laps
1'38.357,KTM,SPA,229.9,0.000,15,Alvaro CARPE,83,1,Alvaro CARPE,83,Red Bull KTM Ajo,0.0,17
1'38.443,KTM,AUS,0.086,0.086,16,Joel KELSO,66,2,Joel KELSO,66,LEVELUP-MTA,0.0,18
1'38.669,HONDA,SPA,0.312,0.226,18,Adrian FERNANDEZ,31,3,Adrian FERNANDEZ,31,Leopard Racing,0.0,18
1'38.765,KTM,SPA,0.408,0.096,15,Maximo QUILES,28,4,Maximo QUILES,28,CFMOTO Valresa Aspar Team,0.0,16
1'38.874,KTM,ARG,0.517,0.109,18,Valentin PERRONE,73,5,Valentin PERRONE,73,Red Bull KTM Tech3,0.0,19
1'39.081,HONDA,SPA,0.724,0.207,17,David ALMANSA,22,6,David ALMANSA,22,Leopard Racing,0.0,17
1'39.302,KTM,GBR,0.945,0.221,18,Scott OGDEN,19,7,Scott OGDEN,19,CIP Green Power,0.0,18
1'39.416,KTM,IRL,1.059,0.114,18,Casey O'GORMAN,67,8,Casey O'GORMAN,67,LIQUI MOLY Dynavolt Intact GP,0.0,18
1'39.419,KTM,ITA,1.062,0.003,15,Guido PINI,94,9,Guido PINI,94,LIQUI MOLY Dynavolt Intact GP,0.0,16
1'39.485,HONDA,ITA,1.128,0.066,18,Luca LUNETTA,58,10,Luca LUNETTA,58,SIC58 Squadra Corse,0.0,18
1'39.646,KTM,SPA,1.289,0.161,15,Brian URIARTE,51,11,Brian URIARTE,51,Red Bull KTM Ajo,0.0,18
1'39.701,KTM,SPA,1.344,0.055,12,Angel PIQUERAS,36,12,Angel PIQUERAS,36,FRINSA - MT Helmets - MSI,0.0,17
1'39.711,KTM,RSA,1.354,0.010,15,Ruche MOODLEY,21,13,Ruche MOODLEY,21,DENSSI Racing - BOE,0.0,18
1'39.747,HONDA,ARG,1.390,0.036,14,Marco MORELLI,95,14,Marco MORELLI,95,GRYD - Mlav Racing,0.0,16
1'39.791,KTM,SPA,1.434,0.044,13,Adrian CRUCES,11,15,Adrian CRUCES,11,CIP Green Power,0.0,13
1'39.972,HONDA,SPA,1.615,0.181,14,Jesus RIOS,45,16,Jesus RIOS,45,Rivacold Snipers Team,0.0,16
1'40.127,HONDA,GBR,1.770,0.155,14,Eddie O'SHEA,8,17,Eddie O'SHEA,8,GRYD - Mlav Racing,0.0,16
1'40.178,HONDA,ITA,1.821,0.051,15,Stefano NEPA,82,18,Stefano NEPA,82,SIC58 Squadra Corse,0.0,17
1'40.346,HONDA,ITA,1.989,0.168,17,Nicola CARRARO,10,19,Nicola CARRARO,10,Rivacold Snipers Team,0.0,17
1'40.505,KTM,ITA,2.148,0.159,14,Dennis FOGGIA,71,20,Dennis FOGGIA,71,CFMOTO Valresa Aspar Team,0.0,14
1'40.522,HONDA,JPN,2.165,0.017,17,Zen MITANI,2,21,Zen MITANI,2,Honda Team Asia,0.0,17
1'40.613,HONDA,JPN,2.256,0.091,8,Taiyo FURUSATO,72,22,Taiyo FURUSATO,72,Honda Team Asia,0.0,13
1'40.685,KTM,ITA,2.328,0.072,7,Matteo BERTELLE,18,23,Matteo BERTELLE,18,LEVELUP-MTA,0.0,18
1'40.785,KTM,AUS,2.428,0.100,15,Jacob ROULSTONE,12,24,Jacob ROULSTONE,12,Red Bull KTM Tech3,0.0,15
1'41.675,KTM,NZE,3.318,0.890,6,Cormac BUCHANAN,14,25,Cormac BUCHANAN,14,DENSSI Racing - BOE,0.0,6
1'43.258,KTM,MAL,4.901,1.583,15,Hakim DANISH,13,26,Hakim DANISH,13,FRINSA - MT Helmets - MSI,0.0,15
