is_valid,lap_number,rider_name,rider_number,sector_number,sector_time,time_seconds
True,1,Alvaro CARPE,83,1,23.973,23.973
True,1,Alvaro CARPE,83,2,30.744,30.744
True,1,Alvaro CARPE,83,3,25.246,25.246
True,1,Alvaro CARPE,83,4,29.023,29.023
True,2,Alvaro CARPE,83,1,23.785,23.785
True,2,Alvaro CARPE,83,2,28.195,28.195
True,2,Alvaro CARPE,83,3,23.825,23.825
True,2,Alvaro CARPE,83,4,28.036,28.036
True,3,Alvaro CARPE,83,1,23.356,23.356
True,3,Alvaro CARPE,83,2,27.344,27.344
True,3,Alvaro CARPE,83,3,23.398,23.398
True,3,Alvaro CARPE,83,4,27.695,27.695
True,4,Alvaro CARPE,83,1,23.070,23.07
True,4,Alvaro CARPE,83,2,27.215,27.215
True,4,Alvaro CARPE,83,3,23.303,23.303
True,4,Alvaro CARPE,83,4,27.576,27.576
True,5,Alvaro CARPE,83,1,23.104,23.104
True,5,Alvaro CARPE,83,2,26.966,26.966
True,5,Alvaro CARPE,83,3,23.124,23.124
True,5,Alvaro CARPE,83,4,27.397,27.397
True,6,Alvaro CARPE,83,1,22.983,22.983
True,6,Alvaro CARPE,83,2,27.810,27.81
True,6,Alvaro CARPE,83,3,23.475,23.475
True,6,Alvaro CARPE,83,4,27.757,27.757
True,7,Alvaro CARPE,83,1,23.226,23.226
True,7,Alvaro CARPE,83,2,26.901,26.901
True,7,Alvaro CARPE,83,3,22.975,22.975
True,7,Alvaro CARPE,83,4,27.541,27.541
True,8,Alvaro CARPE,83,1,23.368,23.368
True,8,Alvaro CARPE,83,2,27.768,27.768
True,8,Alvaro CARPE,83,3,23.253,23.253
True,8,Alvaro CARPE,83,4,27.648,27.648
True,9,Alvaro CARPE,83,1,23.014,23.014
True,9,Alvaro CARPE,83,2,26.711,26.711
True,9,Alvaro CARPE,83,3,22.951,22.951
True,9,Alvaro CARPE,83,4,27.230,27.23
True,11,Alvaro CARPE,83,1,22.903,22.903
True,11,Alvaro CARPE,83,2,26.537,26.537
True,11,Alvaro CARPE,83,3,22.829,22.829
True,11,Alvaro CARPE,83,4,27.307,27.307
True,12,Alvaro CARPE,83,1,22.936,22.936
True,12,Alvaro CARPE,83,2,27.458,27.458
True,12,Alvaro CARPE,83,3,23.728,23.728
True,12,Alvaro CARPE,83,4,35.642,35.642
True,13,Alvaro CARPE,83,1,23.783,23.783
True,13,Alvaro CARPE,83,2,28.253,28.253
True,13,Alvaro CARPE,83,3,23.035,23.035
True,13,Alvaro CARPE,83,4,27.219,27.219
True,14,Alvaro CARPE,83,1,22.826,22.826
True,14,Alvaro CARPE,83,2,26.267,26.267
True,14,Alvaro CARPE,83,3,22.628,22.628
True,14,Alvaro CARPE,83,4,27.033,27.033
True,15,Alvaro CARPE,83,1,22.671,22.671
True,15,Alvaro CARPE,83,2,26.214,26.214
True,15,Alvaro CARPE,83,3,22.541,22.541
True,15,Alvaro CARPE,83,4,26.931,26.931
True,16,Alvaro CARPE,83,1,22.763,22.763
True,16,Alvaro CARPE,83,2,26.294,26.294
True,16,Alvaro CARPE,83,3,22.659,22.659
True,16,Alvaro CARPE,83,4,27.130,27.13
True,17,Alvaro CARPE,83,1,22.827,22.827
True,17,Alvaro CARPE,83,2,26.293,26.293
True,17,Alvaro CARPE,83,3,22.656,22.656
True,17,Alvaro CARPE,83,4,27.204,27.204
True,1,Joel KELSO,66,1,27.839,27.839
True,1,Joel KELSO,66,2,30.851,30.851
True,1,Joel KELSO,66,3,25.031,25.031
True,1,Joel KELSO,66,4,28.970,28.97
True,2,Joel KELSO,66,1,24.181,24.181
True,2,Joel KELSO,66,2,28.046,28.046
True,2,Joel KELSO,66,3,24.113,24.113
True,2,Joel KELSO,66,4,28.467,28.467
True,3,Joel KELSO,66,1,23.507,23.507
True,3,Joel KELSO,66,2,27.313,27.313
True,3,Joel KELSO,66,3,23.406,23.406
True,3,Joel KELSO,66,4,27.793,27.793
True,4,Joel KELSO,66,1,23.336,23.336
True,4,Joel KELSO,66,2,27.126,27.126
True,4,Joel KELSO,66,3,23.326,23.326
True,4,Joel KELSO,66,4,27.893,27.893
True,5,Joel KELSO,66,1,23.237,23.237
True,5,Joel KELSO,66,2,26.731,26.731
True,5,Joel KELSO,66,3,23.041,23.041
True,5,Joel KELSO,66,4,27.479,27.479
True,6,Joel KELSO,66,1,22.932,22.932
True,6,Joel KELSO,66,2,26.600,26.6
True,6,Joel KELSO,66,3,22.914,22.914
True,6,Joel KELSO,66,4,27.219,27.219
True,7,Joel KELSO,66,1,22.948,22.948
True,7,Joel KELSO,66,2,26.633,26.633
True,7,Joel KELSO,66,3,22.897,22.897
True,7,Joel KELSO,66,4,27.259,27.259
True,8,Joel KELSO,66,1,23.040,23.04
True,8,Joel KELSO,66,2,26.591,26.591
True,8,Joel KELSO,66,3,22.916,22.916
True,8,Joel KELSO,66,4,27.575,27.575
True,9,Joel KELSO,66,1,23.506,23.506
True,9,Joel KELSO,66,2,28.814,28.814
True,9,Joel KELSO,66,3,23.978,23.978
True,9,Joel KELSO,66,4,27.597,27.597
True,10,Joel KELSO,66,1,23.076,23.076
True,10,Joel KELSO,66,2,27.217,27.217
True,10,Joel KELSO,66,3,23.052,23.052
True,10,Joel KELSO,66,4,35.461,35.461
True,11,Joel KELSO,66,1,27.967,27.967
True,11,Joel KELSO,66,2,28.968,28.968
True,11,Joel KELSO,66,3,23.475,23.475
True,11,Joel KELSO,66,4,27.573,27.573
True,13,Joel KELSO,66,1,23.175,23.175
True,13,Joel KELSO,66,2,27.323,27.323
True,13,Joel KELSO,66,3,23.798,23.798
True,13,Joel KELSO,66,4,27.767,27.767
True,14,Joel KELSO,66,1,22.923,22.923
True,14,Joel KELSO,66,2,26.460,26.46
True,14,Joel KELSO,66,3,22.628,22.628
True,14,Joel KELSO,66,4,27.022,27.022
True,15,Joel KELSO,66,1,24.411,24.411
True,15,Joel KELSO,66,2,26.818,26.818
True,15,Joel KELSO,66,3,22.668,22.668
True,15,Joel KELSO,66,4,27.081,27.081
True,16,Joel KELSO,66,1,22.729,22.729
True,16,Joel KELSO,66,2,26.273,26.273
True,16,Joel KELSO,66,3,22.492,22.492
True,16,Joel KELSO,66,4,26.949,26.949
True,17,Joel KELSO,66,1,22.736,22.736
True,17,Joel KELSO,66,2,26.449,26.449
True,17,Joel KELSO,66,3,22.593,22.593
True,17,Joel KELSO,66,4,27.071,27.071
True,18,Joel KELSO,66,1,22.809,22.809
True,18,Joel KELSO,66,2,26.400,26.4
True,18,Joel KELSO,66,3,22.678,22.678
True,18,Joel KELSO,66,4,27.019,27.019
True,1,Adrian FERNANDEZ,31,1,25.374,25.374
True,1,Adrian FERNANDEZ,31,2,30.164,30.164
True,1,Adrian FERNANDEZ,31,3,24.958,24.958
True,1,Adrian FERNANDEZ,31,4,28.666,28.666
True,2,Adrian FERNANDEZ,31,1,23.885,23.885
True,2,Adrian FERNANDEZ,31,2,27.824,27.824
True,2,Adrian FERNANDEZ,31,3,23.929,23.929
True,2,Adrian FERNANDEZ,31,4,27.926,27.926
True,3,Adrian FERNANDEZ,31,1,23.490,23.49
True,3,Adrian FERNANDEZ,31,2,27.548,27.548
True,3,Adrian FERNANDEZ,31,3,23.668,23.668
True,3,Adrian FERNANDEZ,31,4,27.756,27.756
True,4,Adrian FERNANDEZ,31,1,23.311,23.311
True,4,Adrian FERNANDEZ,31,2,27.470,27.47
True,4,Adrian FERNANDEZ,31,3,23.365,23.365
True,4,Adrian FERNANDEZ,31,4,27.575,27.575
True,5,Adrian FERNANDEZ,31,1,23.197,23.197
True,5,Adrian FERNANDEZ,31,2,27.170,27.17
True,5,Adrian FERNANDEZ,31,3,23.126,23.126
True,5,Adrian FERNANDEZ,31,4,27.269,27.269
True,6,Adrian FERNANDEZ,31,1,23.104,23.104
True,6,Adrian FERNANDEZ,31,2,26.995,26.995
True,6,Adrian FERNANDEZ,31,3,23.164,23.164
True,6,Adrian FERNANDEZ,31,4,27.209,27.209
True,7,Adrian FERNANDEZ,31,1,23.088,23.088
True,7,Adrian FERNANDEZ,31,2,26.960,26.96
True,7,Adrian FERNANDEZ,31,3,23.028,23.028
True,7,Adrian FERNANDEZ,31,4,27.226,27.226
True,8,Adrian FERNANDEZ,31,1,23.209,23.209
True,8,Adrian FERNANDEZ,31,2,26.900,26.9
True,8,Adrian FERNANDEZ,31,3,22.939,22.939
True,8,Adrian FERNANDEZ,31,4,27.409,27.409
True,9,Adrian FERNANDEZ,31,1,22.969,22.969
True,9,Adrian FERNANDEZ,31,2,26.817,26.817
True,9,Adrian FERNANDEZ,31,3,23.018,23.018
True,9,Adrian FERNANDEZ,31,4,27.178,27.178
True,10,Adrian FERNANDEZ,31,1,23.137,23.137
True,10,Adrian FERNANDEZ,31,2,26.855,26.855
True,10,Adrian FERNANDEZ,31,3,23.111,23.111
True,10,Adrian FERNANDEZ,31,4,27.200,27.2
True,11,Adrian FERNANDEZ,31,1,23.084,23.084
True,11,Adrian FERNANDEZ,31,2,27.538,27.538
True,11,Adrian FERNANDEZ,31,3,27.014,27.014
True,11,Adrian FERNANDEZ,31,4,27.449,27.449
True,13,Adrian FERNANDEZ,31,1,23.020,23.02
True,13,Adrian FERNANDEZ,31,2,26.905,26.905
True,13,Adrian FERNANDEZ,31,3,22.882,22.882
True,13,Adrian FERNANDEZ,31,4,35.110,35.11
True,14,Adrian FERNANDEZ,31,1,23.502,23.502
True,14,Adrian FERNANDEZ,31,2,27.846,27.846
True,14,Adrian FERNANDEZ,31,3,23.358,23.358
True,14,Adrian FERNANDEZ,31,4,27.341,27.341
True,15,Adrian FERNANDEZ,31,1,22.961,22.961
True,15,Adrian FERNANDEZ,31,2,26.794,26.794
True,15,Adrian FERNANDEZ,31,3,22.747,22.747
True,15,Adrian FERNANDEZ,31,4,27.007,27.007
True,16,Adrian FERNANDEZ,31,1,22.990,22.99
True,16,Adrian FERNANDEZ,31,2,26.455,26.455
True,16,Adrian FERNANDEZ,31,3,22.587,22.587
True,16,Adrian FERNANDEZ,31,4,26.940,26.94
True,17,Adrian FERNANDEZ,31,1,22.807,22.807
True,17,Adrian FERNANDEZ,31,2,26.817,26.817
True,17,Adrian FERNANDEZ,31,3,22.656,22.656
True,17,Adrian FERNANDEZ,31,4,27.021,27.021
True,18,Adrian FERNANDEZ,31,1,22.759,22.759
True,18,Adrian FERNANDEZ,31,2,26.415,26.415
True,18,Adrian FERNANDEZ,31,3,22.654,22.654
True,18,Adrian FERNANDEZ,31,4,26.841,26.841
True,1,Maximo QUILES,28,1,28.480,28.48
True,1,Maximo QUILES,28,2,29.448,29.448
True,1,Maximo QUILES,28,3,24.517,24.517
True,1,Maximo QUILES,28,4,28.267,28.267
True,2,Maximo QUILES,28,1,23.509,23.509
True,2,Maximo QUILES,28,2,27.900,27.9
True,2,Maximo QUILES,28,3,23.501,23.501
True,2,Maximo QUILES,28,4,27.440,27.44
True,3,Maximo QUILES,28,1,23.261,23.261
True,3,Maximo QUILES,28,2,27.203,27.203
True,3,Maximo QUILES,28,3,23.265,23.265
True,3,Maximo QUILES,28,4,27.375,27.375
True,4,Maximo QUILES,28,1,22.964,22.964
True,4,Maximo QUILES,28,2,27.186,27.186
True,4,Maximo QUILES,28,3,23.114,23.114
True,4,Maximo QUILES,28,4,27.195,27.195
True,5,Maximo QUILES,28,1,22.920,22.92
True,5,Maximo QUILES,28,2,26.889,26.889
True,5,Maximo QUILES,28,3,22.975,22.975
True,5,Maximo QUILES,28,4,27.295,27.295
True,6,Maximo QUILES,28,1,22.886,22.886
True,6,Maximo QUILES,28,2,26.762,26.762
True,6,Maximo QUILES,28,3,22.892,22.892
True,6,Maximo QUILES,28,4,27.142,27.142
True,7,Maximo QUILES,28,1,22.900,22.9
True,7,Maximo QUILES,28,2,26.775,26.775
True,7,Maximo QUILES,28,3,22.925,22.925
True,7,Maximo QUILES,28,4,27.185,27.185
True,8,Maximo QUILES,28,1,22.848,22.848
True,8,Maximo QUILES,28,2,26.585,26.585
True,8,Maximo QUILES,28,3,22.792,22.792
True,8,Maximo QUILES,28,4,27.311,27.311
True,9,Maximo QUILES,28,1,22.879,22.879
True,9,Maximo QUILES,28,2,26.634,26.634
